,sim1k,kitti,foggycityscape
0,True,True,True
1,True,True,True
2,True,True,True
3,True,True,True
4,True,True,True
5,True,True,True
6,True,True,True
7,True,True,True
8,True,True,True
9,True,True,True
10,True,True,True
11,True,True,True
12,False,True,True
13,False,False,False
14,True,True,True
15,True,True,True
16,False,True,False
17,True,True,True
18,False,True,False
19,False,False,False
20,False,False,False
21,False,True,True
22,True,True,True
23,True,True,True
24,True,True,True
25,False,True,False
26,True,True,True
27,False,True,True
28,True,True,True
29,False,True,False
30,True,True,True
31,True,True,True
32,False,True,True
33,False,True,True
34,False,True,False
35,True,True,True
36,False,True,True
37,True,True,True
38,True,True,True
39,True,True,True
40,True,True,True
41,True,True,True
42,True,True,True
43,True,True,True
44,True,True,True
45,True,True,True
46,True,True,True
47,True,True,True
